(`TIME`, `PM10`, `PM25`, `NO2`, `O3`, `SO2`, `MAX_VALUE`, `LOKASI`, `LEVEL`),
('2023-12-08', 105, 157, 10, 48, 14, 157, 'Jakarta GBK', 'Unhealthy'),
('2023-12-09', 117, 194, 53, 48, 18, 194, 'Jakarta GBK', 'Unhealthy'),
('2023-12-10', 123, 177, 23, 48, 19, 177, 'Jakarta GBK', 'Unhealthy'),
('2023-12-11', 96, 209, 9, 48, 15, 209, 'Jakarta GBK', 'Very Unhealthy'),
('2023-12-12', 100, 213, 11, 48, 15, 213, 'Jakarta GBK', 'Very Unhealthy'),
('2023-12-13', 95, 183, 9, 49, 15, 183, 'Jakarta GBK', 'Unhealthy'),
('2023-12-14', 95, 186, 37, 49, 16, 186, 'Jakarta GBK', 'Unhealthy'),
('2023-12-15', 81, 136, 19, 49, 16, 136, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2023-12-16', 80, 136, 37, 48, 15, 136, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2023-12-17', 78, 131, 56, 48, 14, 131, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2023-12-18', 81, 138, 19, 48, 13, 138, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2023-12-19', 71, 119, 49, 48, 12, 119, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2023-12-20', 69, 104, 37, 48, 12, 104, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2023-12-21', 66, 94, 46, 48, 13, 94, 'Jakarta GBK', 'Moderate'),
('2023-12-22', 77, 123, 78, 51, 13, 123, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2023-12-23', 103, 186, 31, 51, 14, 186, 'Jakarta GBK', 'Unhealthy'),
('2023-12-24', 141, 178, 10, 46, 19, 178, 'Jakarta GBK', 'Unhealthy'),
('2023-12-25', 115, 171, 38, 51, 21, 171, 'Jakarta GBK', 'Unhealthy'),
('2023-12-26', 129, 257, 36, 61, 21, 257, 'Jakarta GBK', 'Very Unhealthy'),
('2023-12-27', 113, 161, 36, 61, 21, 161, 'Jakarta GBK', 'Unhealthy'),
('2023-12-29', 119, 181, 0, 61, 14, 181, 'Jakarta GBK', 'Unhealthy'),
('2023-12-30', 118, 223, 0, 67, 15, 223, 'Jakarta GBK', 'Very Unhealthy'),
('2023-12-31', 124, 207, 0, 54, 17, 207, 'Jakarta GBK', 'Very Unhealthy'),
('2024-01-01', 120, 237, 1, 48, 19, 237, 'Jakarta GBK', 'Very Unhealthy'),
('2024-01-02', 75, 153, 2, 26, 28, 153, 'Jakarta GBK', 'Unhealthy'),
('2024-01-03', 66, 161, 2, 18, 28, 161, 'Jakarta GBK', 'Unhealthy'),
('2024-01-04', 58, 127, 3, 18, 28, 127, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-01-05', 69, 212, 3, 51, 30, 212, 'Jakarta GBK', 'Very Unhealthy'),
('2024-01-06', 77, 221, 4, 13, 30, 221, 'Jakarta GBK', 'Very Unhealthy'),
('2024-01-07', 102, 210, 4, 15, 35, 210, 'Jakarta GBK', 'Very Unhealthy'),
('2024-01-08', 62, 115, 4, 15, 32, 115, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-01-09', 80, 175, 20, 15, 37, 175, 'Jakarta GBK', 'Unhealthy'),
('2024-01-10', 72, 141, 500, 18, 35, 500, 'Jakarta GBK', 'Hazardous'),
('2024-01-11', 64, 112, 49, 46, 13, 112, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-01-12', 40, 61, 49, 50, 12, 61, 'Jakarta GBK', 'Moderate'),
('2024-01-13', 53, 72, 49, 54, 12, 72, 'Jakarta GBK', 'Moderate'),
('2024-01-14', 54, 84, 49, 54, 13, 84, 'Jakarta GBK', 'Moderate'),
('2024-01-29', 56, 135, 49, 74, 12, 135, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-01-30', 77, 221, 49, 74, 14, 221, 'Jakarta GBK', 'Very Unhealthy'),
('2024-01-31', 56, 138, 49, 74, 11, 138, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-02-01', 84, 207, 49, 74, 13, 207, 'Jakarta GBK', 'Very Unhealthy'),
('2024-02-02', 69, 191, 49, 74, 13, 191, 'Jakarta GBK', 'Unhealthy'),
('2024-02-03', 56, 119, 49, 77, 12, 119, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-02-04', 39, 53, 49, 74, 11, 74, 'Jakarta GBK', 'Moderate'),
('2024-02-05', 69, 141, 49, 74, 12, 141, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-02-06', 73, 201, 49, 77, 14, 201, 'Jakarta GBK', 'Very Unhealthy'),
('2024-02-07', 52, 78, 49, 80, 11, 80, 'Jakarta GBK', 'Moderate'),
('2024-02-08', 68, 120, 49, 74, 12, 120, 'Jakarta GBK', 'Unhealthy for Sensitive Groups'),
('2024-02-09', 82, 170, 49, 71, 12, 170, 'Jakarta GBK', 'Unhealthy'),
('2024-02-10', 72, 181, 50, 45, 25, 181, 'Jakarta GBK', 'Unhealthy'),
('2024-02-11', 73, 154, 500, 22, 38, 500, 'Jakarta GBK', 'Hazardous'),
